Film;Villain;Portrayed by;Objective;Outcome;Status;image_url
Casino Royale;Mollaka Danso;Sébastian Foucan;Mollaka Danso's objective is to plant a bomb in a Miami hotel, which will detonate during a meeting of a group of wealthy investors, causing a global financial meltdown.;Bond foils Mollaka's plan by killing him in a parkour chase, preventing the bomb from being planted.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/3/3c/Mollaka_%28S%C3%A9bastian_Foucan%29_-_Profile.jpg
Diamonds Are Forever;Mr. Kidd;Putter Smith;Mr. Kidd and his partner, J.W. Pepper, attempt to steal a large quantity of diamonds from the Tiffany & Co. store in New York City.;Their plan is foiled by Bond, but not before they manage to steal the diamonds, which are later recovered by Bond.;Arrested;https://static.wikia.nocookie.net/jamesbond/images/8/82/Mr._Kidd_%28Putter_Smith%29_-_Profile.png
Diamonds Are Forever;Mr. Wint;Bruce Glover;Mr. Wint and his brother Mr. Kidd are hired by Ernst Stavro Blofeld to steal a large quantity of diamonds, specifically the Star of Fortuna, and then kill anyone who gets in their way.;Their plan is foiled by Bond, who discovers their scheme and thwarts their attempts to steal the diamonds.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/6/67/Mr._Wint_%28Bruce_Glover%29_-_Profile.png
Diamonds Are Forever;Thumper;Trina Parks;Thumper is part of a plot to smuggle diamonds from an American mine, and later helps in the theft of a large diamond at an auction.;Thumper's plan is foiled by Bond, who discovers the smuggling operation and thwarts the diamond heist.;Defeated and presumably arrested;https://static.wikia.nocookie.net/jamesbond/images/3/32/Thumper_-_Profile.png
Diamonds Are Forever;Ernst Stavro Blofeld;Charles Gray;Steal diamonds to fabricate a laser satellite which can remotely detonate nuclear stockpiles, then use said laser to extort the world's nuclear powers.;Bond smashes Blofeld's mini-sub against the control room of his lair, disabling the satellite and causing severe damage to his lair.;Survived the fiery demolition of the control room of his oil rig headquarters as he returns in the opening of For Your Eyes Only, where Bond drops him down an industrial chimney.;https://static.wikia.nocookie.net/jamesbond/images/9/95/Blofeld_Profile_%28Charles_Gray%29.png
Die Another Day;Mr. Kil;Lawrence Makoare;Mr. Kil seeks to sell North Korean missiles to the highest bidder, using a diamond mine as a front.;Bond foils Kil's plan by destroying the diamond mine and preventing the sale of the missiles.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/7/7a/Kil.png
Die Another Day;Vlad;Mikhail Gorevoy;Vlad is a North Korean agent who seeks to steal a valuable microchip to sell to the highest bidder, while also seeking revenge against Bond for past encounters.;Bond and Jinx prevent Vlad from selling the microchip, and he is subsequently killed by Jinx.;Killed by Jinx;https://static.wikia.nocookie.net/jamesbond/images/e/ef/Vlad_%28Mikhail_Gorevoy%29_-_Profile.png
Die Another Day;Zao;Rick Yune;Zao seeks revenge against Bond for the death of his sister, while also working to sell North Korean technology to the highest bidder.;Zao's plan is foiled when Bond discovers his true identity and prevents the sale of the technology, but Zao manages to escape.;Escapes;https://static.wikia.nocookie.net/jamesbond/images/a/ac/Zao_%28Die_Another_Day%29_-_Profile.png
Die Another Day;Gustav Graves;Toby Stephens / Will Yun Lee;Use the sun-enhancing satellite Icarus to cut a path through the Korean Demilitarized Zone, provoking a war between North and South Korea.;Icarus is rendered harmless when Bond destroys the control device.;Bond pulls the cord on his parachute, sucking him out off plane, electrocutes him and finally getting sucked into the plane's engine, ripping him to shreds.;https://static.wikia.nocookie.net/jamesbond/images/5/5c/Tan-Sun_Moon_-_Profile.png
Dr. No;Dr. Julius No;Joseph Wiseman;Use a nuclear radio beam to topple Cape Canaveral's space program.;Bond disables the radio beam by overloading the nuclear reactor.;Slowly boils to death in the reactor's cooling pond after a struggle with Bond.;https://static.wikia.nocookie.net/jamesbond/images/d/db/Dr_No_-_Profile.jpg
For Your Eyes Only;Milos Columbo;Chaim Topol;Milos Columbo is attempting to steal a valuable Fabergé egg, the Lektor device, and a cache of NATO documents.;Bond foils Columbo's plan by retrieving the Lektor device and preventing the theft of the Fabergé egg.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/e/ec/Milos_Columbo_%28Chaim_Topol%29_-_Profile.png
For Your Eyes Only;Emile Leopold Locque;Michael Gothard;Locque is hired by the villainous General Orlov to steal a Fabergé egg and sell it to a collector, but the real goal is to obtain the stolen ATAC computer system.;Locque's plan is foiled by Bond, who retrieves the ATAC computer system and prevents the theft of the Fabergé egg.;Killed by Bond's accomplice, Milos Columbo;https://static.wikia.nocookie.net/jamesbond/images/6/6f/Emile_Leopold_Locque_-_Profile.png
For Your Eyes Only;Claus;Charles Dance;Claus is a smuggler who steals a Fabergé egg, which he plans to sell on the black market.;Bond retrieves the Fabergé egg, foiling Claus's plan.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/c/ca/Claus_%28Charles_Dance%29_-_Profile.jpg
For Your Eyes Only;Aristotle Kristatos;Julian Glover;Retrieve an ATAC missile command system lost by the British in a shipwreck and sell it to the Soviet Union. Additionally, trick Bond and MI6 into killing his main rival, Milos Columbo.;Bond joins forces with Melina Havelock and Milos Columbo, infiltrating Kristatos's hideout and throwing the device off a cliff.;Stabbed with a knife thrown by Columbo.;https://static.wikia.nocookie.net/jamesbond/images/6/61/Aris_Kristatos_%28Julian_Glover%29_-_Profile.jpg
From Russia with Love;Kronsteen;Vladek Sheybal;Trick James Bond and MI6 into stealing a Soviet decoder machine called the Lektor so they can steal it from them, while also destroying Bond's reputation in a humiliating sex scandal and eventually killing him as revenge for the death of Dr. No.;Bond acquires the device for MI6 and evades SPECTRE's attempts on his life.;Murdered by SPECTRE on Blofeld's orders after his plan to ruin Bond failed.;https://static.wikia.nocookie.net/jamesbond/images/4/45/Kronsteen_%28Vladek_Sheybal%29_-_Profile.jpg
From Russia with Love;Ernst Stavro Blofeld;Anthony Dawson (body), Eric Pohlmann (voice);Trick James Bond and MI6 into stealing a Soviet decoder machine called the Lektor so they can steal it from them, while also destroying Bond's reputation in a humiliating sex scandal and eventually killing him as revenge for the death of Dr. No.;Bond acquires the device for MI6 and evades SPECTRE's attempts on his life.;Survives (no contact between him and Bond).;https://static.wikia.nocookie.net/jamesbond/images/8/87/Blofeld_%28Dawson-Pohlmann%29_-_Profile.jpg
From Russia with Love;Colonel Rosa Klebb;Lotte Lenya;Trick James Bond and MI6 into stealing a Soviet decoder machine called the Lektor so they can steal it from them, while also destroying Bond's reputation in a humiliating sex scandal and eventually killing him as revenge for the death of Dr. No.;Bond acquires the device for MI6 and evades SPECTRE's attempts on his life.;Shot in the chest by Tatiana Romanova during an attempt to murder Bond after her last plan failed.;https://static.wikia.nocookie.net/jamesbond/images/d/de/Rosa-klebb-from-russia-with-love.png
From Russia with Love;Morzeny;Walter Gotell;Morzeny is tasked with eliminating James Bond and obtaining the Lektor machine cipher, a highly advanced encryption device.;Morzeny's plan is foiled when Bond and his allies escape, and he is left to fend off the Turkish henchmen.;Survives;https://static.wikia.nocookie.net/jamesbond/images/5/53/Morzeny_%28Walter_Gotell%29_-_Profile.jpg
From Russia with Love;Red Grant;Robert Shaw;Trick James Bond and MI6 into stealing a Soviet decoder machine called the Lektor so they can steal it from them, while also destroying Bond's reputation in a humiliating sex scandal and eventually killing him as revenge for the death of Dr. No.;Bond acquires the device for MI6 and evades SPECTRE's attempts on his life.;Killed by Bond in fight aboard the Orient Express.;https://static.wikia.nocookie.net/jamesbond/images/c/c2/Red_Grant_%28Robert_Shaw%29_-_Profile.jpg
GoldenEye;General Ourumov;Gottfried John;General Ourumov is working with Alec Trevelyan to steal the GoldenEye satellite and use its electromagnetic pulse to cripple the Russian military and then the West, allowing for a new world order.;Bond and Natalya Simonova foil the plan by destroying the GoldenEye satellite before it can be activated.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/5/58/General_Ourumov_%28Gottfried_John%29_-_Profile.png
GoldenEye;Boris Grishenko;Alan Cumming;Boris Grishenko plans to steal a Russian nuclear warhead and sell it to the highest bidder, using the GoldenEye satellite to control the world's financial markets.;Bond foils Grishenko's plan by destroying the GoldenEye satellite and preventing the sale of the warhead.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/6/64/Boris_Grishenko_%28Alan_Cumming%29_-_Profile.jpg
GoldenEye;Alec Trevelyan / 'Janus';Sean Bean;Use an EMP weapon called GoldenEye to destroy London's economy in revenge for British repatriation of Lienz Cossacks which led to the murder-suicide of his parents. Also aims to eliminate Severnaya survivor Natalya Simonova, before she becomes too much trouble.;Simonova reprograms the GoldenEye satellite's controls to initiate atmospheric re-entry, thus destroying itself. Bond sabotages the dish's antenna by jamming its gears, rendering Boris Grishenko incapable of undoing Simomova's work.;Bond drops Alec to the bottom of the dish surface, and subsequently ends crushed by the antenna's collapsing beam steering mechanism.;https://static.wikia.nocookie.net/jamesbond/images/7/76/Alec_Trevelyan_%28Sean_Bean%29_-_Profile.jpg
Goldfinger;Auric Goldfinger;Gert Fröbe;Irradiate the gold in Fort Knox with a nuclear weapon to increase the value of his own gold.;An American technician safely disables the bomb.;Sucked out of the shattered window of a depressurizing plane, falling to his death.;https://static.wikia.nocookie.net/jamesbond/images/d/d9/Auric_Goldfinger_%28Gert_Fr%C3%B6be%29_-_Profile.png
Goldfinger;Oddjob;Harold Sakata;Oddjob plans to break into Fort Knox and steal all the gold reserves, using his unique hat to deflect bullets and security measures.;Oddjob's plan is foiled by Bond, who discovers the location of the Fort Knox heist and kills Oddjob in the process.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/a/a5/Oddjob_Profile.png
Goldfinger;Mr. Ling;Burt Kwouk;Mr. Ling, the henchman of Auric Goldfinger, is tasked with capturing James Bond and preventing him from interfering with Goldfinger's plan to rob Fort Knox.;Bond manages to escape and foil Goldfinger's plan, with Mr. Ling being defeated and captured.;Captured;https://static.wikia.nocookie.net/jamesbond/images/1/1c/Mr._Ling_-_Profile.jpg
Goldfinger;Colonel Smithers;Richard Vernon;To oversee the operation of Auric Goldfinger's plan to rob Fort Knox, ensuring the successful execution of the heist.;Bond foils the plan by discovering the true target of the operation, which is not Fort Knox but the United States gold reserve at Fort Knox, and Goldfinger's plan is ultimately thwarted.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/1/14/Colonel_Smithers_-_Profile.png
Goldfinger;Simmons;Austin Willis;Assisting Auric Goldfinger in his operation to rob Fort Knox.;Foiled by Bond, Simmons is killed in the process.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/d/d7/Simmons_-_Profile.png
Licence to Kill;Milton Krest;Anthony Zerbe;Milton Krest is seeking revenge against Bond for killing his friend and business partner, Franz Sanchez, and plans to kill him by putting him in a shark tank.;Bond manages to escape the shark tank, and Milton Krest is subsequently killed by Franz Sanchez's henchmen.;Killed by Sanchez's henchmen;https://static.wikia.nocookie.net/jamesbond/images/0/0a/Milton_Krest_%28Anthony_Zerbe%29_-_Profile.jpg
Licence to Kill;Ed Killifer;Everett McGill;Ed Killifer is working with Franz Sanchez to smuggle cocaine and kill anyone who gets in their way.;Ed Killifer's smuggling operation is disrupted by Bond, and he is eventually killed.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/4/43/Ed_Killifer_-_Profile.png
Licence to Kill;Colonel Heller;Don Stroud;Colonel Heller is working with Franz Sanchez to smuggle cocaine and is responsible for the torture and death of Felix Leiter's wife, which sets off a chain of events leading to Bond's revenge.;Bond foils Heller's plan by tracking down Sanchez and ultimately killing him in a confrontation.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/c/c5/Heller_-_Profile.png
Licence to Kill;Hector Lopez;Pedro Armendáriz Jr.;Hector Lopez is involved in a cocaine smuggling operation and is responsible for the death of Felix Leiter's wife, which sets off a chain of events that leads to Bond's pursuit of him.;Bond foils Lopez's operation and kills him in a confrontation.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/d/d1/Lopez.png
Licence to Kill;Sharkey;Frank McRae;Sharkey is a henchman working for Franz Sanchez, tasked with intimidating Felix Leiter and his new wife, Della, into revealing information about Sanchez's operation.;Sharkey's intimidation attempt fails, and he is ultimately killed by Bond in a fight.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/5/58/Sharkey_-_Profile.png
Licence to Kill;Braun;Guy De Saint Cyr;Braun is involved in a cocaine trafficking operation and is responsible for the death of Felix Leiter's wife, which sets Bond on his mission.;Bond discovers Braun's operation and foils it, but Braun is killed by a shark.;Killed by a shark;https://static.wikia.nocookie.net/jamesbond/images/d/d7/Barun.png
Licence to Kill;Kwang;Cary-Hiroyuki Tagawa;Kwang is a member of the crime syndicate led by Franz Sanchez, and his objective is to help Sanchez escape from the authorities.;Bond foils Kwang's plan by helping Sanchez's associates take revenge on him, and he is subsequently killed.;Killed by Sanchez's associates;https://static.wikia.nocookie.net/jamesbond/images/e/e1/Kwang_%28Cary-Hiroyuki_Tagawa%29_-_Profile.jpg
Licence to Kill;Hawkins;Grand L. Bush;Hawkins is working with Franz Sanchez to smuggle cocaine and is responsible for the torture and death of Felix Leiter's wife, which sets off Felix's vendetta against Sanchez.;Bond foils Hawkins' smuggling operation, but not directly, as it is Sanchez who is ultimately defeated by Bond.;Killed by Sanchez's men;https://static.wikia.nocookie.net/jamesbond/images/0/0b/Hawkins_-_Profile.png
Licence to Kill;Montelongo;Claudio Brook;Montelongo's objective is to smuggle cocaine and use the profits to fund his own operations.;Bond foils Montelongo's plan by stopping the smuggling operation and killing him.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/b/b4/Montelongo.png
Licence to Kill;Alvarez;Gerardo Albarrán;Alvarez is working with Franz Sanchez to smuggle cocaine and exact revenge on those who wronged him.;Bond foils Alvarez's plan by killing him and dismantling Sanchez's operation.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/7/7a/Alvarez_-_Profile.png
Licence to Kill;Dario;Benicio del Toro;Dario's objective is to exact revenge on Felix Leiter for the death of his girlfriend, Della, and to disrupt the cocaine trade in the Caribbean.;Dario's plan is foiled by Bond, who helps Felix Leiter and ultimately kills Dario.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/5/55/Dario_%28Benicio_del_Toro%29_-_Profile.jpg
Licence to Kill;Franz Sanchez;Robert Davi;Smuggle a large shipment of cocaine into Asia by dissolving the substance in petrol.;Bond destroys the refinery used to dissolve the cocaine and later the four tankers that are already filled.;Bond sets Sanchez, who is soaked in gasoline due to a tanker crash, on fire with a lighter gifted by Felix Leiter. Burning Sanchez stumbles into a leaking tank truck, causing the leaked gasoline to catch on fire and make the tanker explode, killing Sanchez.;https://static.wikia.nocookie.net/jamesbond/images/4/48/Franz_Sanchez_%28Robert_Davi%29_-_Profile.png
Live and Let Die;Baron Samedi;Geoffrey Holder;Baron Samedi seeks to avenge his master, Mr. Big, by killing James Bond and disrupting the heroin trade in the Caribbean.;Bond foils Baron Samedi's plans with the help of Solitaire, and Baron Samedi is killed in a fire.;Killed by fire;https://static.wikia.nocookie.net/jamesbond/images/a/a6/Baron_Samedi_%28Geoffrey_Holder%29_-_Profile.jpg
Live and Let Die;Dr. Kananga / Mr. Big;Yaphet Kotto;Distribute a large cache of heroin into the United States without cost, driving his competitors out of business and gaining a monopoly.;Quarrel Jr. destroys Kananga's poppy fields with a series of explosives.;Forced by Bond to ingest a compressed gas pellet, causing him to inflate and explode.;https://static.wikia.nocookie.net/jamesbond/images/4/4c/Dr._Kananga_%28Yaphet_Kotto%29_-_Profile.jpg
Live and Let Die;Whisper;Earl Jolly Brown;Whisper is a henchman of Mr. Big, working to smuggle heroin and diamonds.;Whisper's smuggling operation is disrupted by Bond, but he is not directly involved in foiling the plan.;Killed by Bond's allies;https://static.wikia.nocookie.net/jamesbond/images/1/19/Whisper_%28Earl_Jolly_Brown%29_-_Profile.jpg
Live and Let Die;Adam;Tommy Lane;Adam is a henchman working for Mr. Big, tasked with retrieving a stolen shipment of heroin and silencing those involved.;Adam's plan is foiled when he is killed by Bond, who is able to escape the situation.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/e/e4/Adam_Profile.png
Live and Let Die;Tee Hee;Julius Harris;Tee Hee is a henchman working for Mr. Big, helping him to smuggle heroin and diamonds, and later assisting in the plot to kill Solitaire.;Tee Hee's plans are foiled by Bond, who kills him in a fight.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/e/e9/Tee_Hee_%28Julius_Harris%29_-_Profile.jpg
Moonraker;Chang;Toshirô Suga;Chang is a henchman working for Hugo Drax, and his objective is to assist Drax in his plan to wipe out humanity and rebuild society with a new, superior breed.;Chang's plan is foiled by Bond, who stops Drax's space station from colliding with the Earth.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/b/b1/Chang_%28Toshir%C3%B4_Suga%29_-_Profile.jpg
Moonraker;Jaws;Richard Kiel;Jaws, a giant of a man with metal teeth, is working for Hugo Drax to kill astronauts and passengers on the Moonraker space shuttle, which Drax plans to use to wipe out humanity and start anew.;Bond and Goodhead foil Jaws' plans by using a giant harpoon to kill him in the space shuttle's cargo bay.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/0/06/Jaws_%28Richard_Kiel%29_-_Profile.png
Moonraker;Hugo Drax;Michael Lonsdale;Fire a nerve agent from space, poisoning Earth's atmosphere and killing off the human population. Rebuild humanity in space with carefully selected humans.;The space station containing the poisonous globes is destroyed by US Marines, and the three globes that were launched are destroyed by Bond and Holly Goodhead.;Shot with a dart by Bond and ejected into outer space.;https://static.wikia.nocookie.net/jamesbond/images/9/97/Hugo_Drax_%28Michael_Lonsdale%29_-_Profile.png
No Time to Die;Primo;Dali Benssalah;Primo is a henchman working for Safin, tasked with capturing and interrogating Bond, and later assisting in the operation to destroy the world's population by unleashing a deadly virus.;Although Primo is successful in capturing Bond, his plan ultimately fails as Bond is able to escape and prevent the virus from being released.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/9/9e/Primo_-_Profile.png
No Time to Die;Ernst Stavro Blofeld;Christoph Waltz;Escape prison, restore SPECTRE, and eliminate Bond using Heracles.;Safin uses Heracles to wipe out SPECTRE in Cuba and later coerces Madeleine Swann into killing Blofeld with it.;Inadvertently infected with Heracles when Bond briefly touches and strangles him—after he touched Swann—during an interrogation and dies as a result.;https://static.wikia.nocookie.net/jamesbond/images/4/42/Blofeld_%28Christoph_Waltz%29_-_Profile.png
No Time to Die;Lyutsifer Safin;Rami Malek;"Wipe out SPECTRE after Blofeld ordered Mr. White to assassinate his family. Later take revenge on the world at large by using ""Heracles"" – a DNA-based bioweapon which SPECTRE stole from MI6.";Succeeds in wiping out SPECTRE but fails to spread Heracles worldwide due to the Royal Navy's and Bond's intervention, which destroys the facility producing it.;Shot by Bond after a brief fistfight.;https://static.wikia.nocookie.net/jamesbond/images/f/f2/Lyutsifer_Safin_-_Profile_V2.jpg
Octopussy;Gobinda;Kabir Bedi;Gobinda is working for Kamal Khan to steal a Fabergé egg and use it to detonate a nuclear bomb, forcing the British government to withdraw from Afghanistan.;Bond foils the plan by stopping the theft of the Fabergé egg and preventing the nuclear explosion.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/e/eb/Gobinda_-_Profile.png
Octopussy;General Orlov's Henchman, Jim Fanning;Douglas Wilmer;To smuggle a nuclear bomb into the United States and sell it to the highest bidder, with the goal of creating chaos and destruction.;Bond foiled the plan by stopping the sale of the bomb and preventing it from being smuggled into the US.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/c/c6/Jim_Fanning_-_Profile.png
Octopussy;Smithers;Jeremy Bulloch;Smithers is working with General Orlov to steal a valuable Fabergé egg and use its gemstones to fund a Soviet-backed rebellion in Afghanistan.;Bond foils the plan by preventing the theft of the Fabergé egg and exposing General Orlov's scheme.;Arrested;https://static.wikia.nocookie.net/jamesbond/images/9/9f/Smithers_%28Jeremy_Bulloch%29_-_Profile.jpg
Octopussy;Kamal Khan;Louis Jourdan;Execute General Orlov's plan in exchange for being paid in jewels stolen from the Kremlin.;The jewels are recovered by the KGB.;Attempts to escape in his plane, but Bond disables the left engine of the plane, causing Khan to crash it into a mountain, killing him.;https://static.wikia.nocookie.net/jamesbond/images/2/26/Kamal_Khan_%28Louis_Jourdan%29_-_Profile.jpg
Octopussy;General Orlov;Steven Berkoff;Smuggle a nuclear warhead onto a US Air Force Base in West Germany and detonate it to clear a path for the Soviet Bloc to conquer Western Europe.;Bond, with the help of Octopussy, disarms the bomb.;Shot by guards who believe that he is trying to defect.;https://static.wikia.nocookie.net/jamesbond/images/1/16/General_Orlov_-_Profile.png
On Her Majesty's Secret Service;Irma Bunt;Ilse Steppat;Irma Bunt is working for Ernst Stavro Blofeld, helping him to abduct and brainwash women to create the perfect female accomplice.;Bond foils her plan by rescuing the women and stopping Blofeld's operation.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/7/70/Irma_Bunt_%28Ilse_Steppat%29_-_Profile.png
On Her Majesty's Secret Service;Ernst Stavro Blofeld;Telly Savalas;Distribute an infertility-based viral plague to destroy livestock and cereals, unless issued a pardon by the United Nations and the title of count by the College of Arms.;Bond and Marc-Ange Draco destroy the laboratory and radio station from which commands to distribute the viruses are issued. Agents supposedly neutralised.;Survives, despite neck injury. His henchwoman Irma Bunt assassinates Tracy di Vicenzo, Bond's newly married wife, on their honeymoon.;https://static.wikia.nocookie.net/jamesbond/images/7/78/Blofeld_%28Telly_Savalas%29_-_Profile.png
Quantum of Solace;Mr. White;Jesper Christensen;Escape MI6 custody.;Succeeds.;Survives (returns in Spectre where he is dying from thallium poisoning and commits suicide using Bond's Walther PPK).;https://static.wikia.nocookie.net/jamesbond/images/e/ec/Mr._White_-_Profile.png
Quantum of Solace;Dominic Greene;Mathieu Amalric;Carry out a coup d'état in Bolivia and install his puppet ruler, General Medrano, in exchange for land hiding a massively valuable, undiscovered aquifer. Then sell the new Bolivian government water from the aquifer at massively inflated prices.;Bond intercepts Greene and Medrano before they can carry out the coup.;Bond abandons him in the middle of the Bolivian desert, with nothing but a can of motor oil to drink. He is later reported to have been shot by an anonymous assassin after drinking the oil.;https://static.wikia.nocookie.net/jamesbond/images/1/16/Profile_-_Dominic_Greene.png
Skyfall;Raoul Silva's henchman Ronson;Bill Buckhurst;Part of Silva's plan to destroy MI6's headquarters and exact revenge on M.;His role in the plan is foiled when Bond and Q destroy the hard drive containing the MI6 personnel list.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/3/3d/Ronson.png
Skyfall;Clair Dowar;Helen McCrory;Clair Dowar's objective is to identify and eliminate the double agent within MI6, which she believes is a mole within the organization.;Her plan is foiled when Bond and M uncover the true identity of the double agent, who is actually Raoul Silva, and she is unable to stop them.;Survives;https://static.wikia.nocookie.net/jamesbond/images/4/4c/Clair_Dowar_-_Profile.png
Skyfall;Raoul Silva;Javier Bardem;Take revenge on M by launching a massive cyberattack on MI6 and then personally carry out her assassination.;Indirectly succeeds. Bond foils his first assassination attempt, but later she is fatally wounded by one of his henchmen. (Although, he does not live to realize this or find the closure he sought.);Bond throws a hunting knife into his back.;https://static.wikia.nocookie.net/jamesbond/images/1/1b/Raoul_Silva_-_Profile.png
Spectre;Franz Oberhauser / Ernst Stavro Blofeld;Christoph Waltz;"Gain control of a global surveillance program called ""Nine Eyes"".";Bond destroys Blofeld's data center and Q prevents the Nine Eyes program from being activated.;Arrested by M after he survives his escape helicopter being shot down by Bond.;https://static.wikia.nocookie.net/jamesbond/images/4/42/Blofeld_%28Christoph_Waltz%29_-_Profile.png
